Id	BJ5	BJ7	BJ8	BJ9	BJ10	BJ1	BJ2	BJ3	BJ4	BJ6	norm.BJ5	norm.BJ7	norm.BJ8	norm.BJ9	norm.BJ10	norm.BJ1	norm.BJ2	norm.BJ3	norm.BJ4	norm.BJ6	baseMean	M	F	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
ENST00000361365	0	0	4	0	0	155	109	97	103	118	0	0	4	0	0	148	102	91	91	111	54.77	1	109	107.062	6.742	9.006	2.13146783673627e-19	2.79584636144697e-15	0.0397	0.2511	0.1053	0.1053	TRUE	1.9264
ENST00000336079	0	0	0	0	0	60	80	56	75	61	0	0	0	0	0	57	75	52	67	58	30.86	0	62	236.153	7.884	8.795	1.42579070743849e-18	9.35104835473537e-15	0.0057	0.2866	0.0737	0.0737	TRUE	0.1222
ENST00000463199	0	0	0	0	0	37	33	23	31	16	0	0	0	0	0	35	31	21	28	15	13.03	0	26	98.68	6.625	7.13	1.00064442284554e-12	4.37515096482166e-09	0.0673	0.398	0.1733	0.1733	TRUE	0.0682
ENST00000495478	0	0	0	0	0	22	22	17	16	11	0	0	0	0	0	21	21	16	14	10	8.21	0	16	62.852	5.974	6.404	1.51134174559656e-10	3.96485393539803e-07	0	0.5113	0.1835	0.1835	TRUE	0.0729
ENST00000361243	3	0	2	0	2	24	26	18	25	34	3	0	2	0	2	23	24	17	22	32	12.56	1	24	14.808	3.888	6.206	5.43302523541974e-10	1.03172533008307e-06	0.0145	0.4052	0.1308	0.1308	TRUE	0.2311
ENST00000250784	0	0	2	0	0	35	25	22	9	36	0	0	2	0	0	33	23	21	8	34	12.15	0	24	40.307	5.333	5.537	3.08318926955472e-08	3.6765630589772e-05	0.2484	0.4121	0.307	0.307	TRUE	0.8037
ENST00000400259	15	7	6	12	6	154	57	22	22	74	15	7	6	12	7	147	53	21	20	70	35.73	9	62	3.578	1.839	4.517	6.26863087070538e-06	0.00342606796379344	0.4016	0.2756	0.3749	0.3749	TRUE	0.301
ENST00000555495	30	9	15	14	29	45	59	89	70	67	29	9	16	14	32	43	55	83	62	63	40.71	20	61	1.889	0.917	4.317	1.58057462550852e-05	0.00767866568992416	0.0987	0.2669	0.1342	0.1342	TRUE	0.365
ENST00000356978	43	23	26	32	29	149	50	57	159	138	42	24	27	32	32	142	47	53	141	130	67.09	31	103	1.916	0.938	4.306	1.66213594992616e-05	0.00778651330542194	0.153	0.2427	0.1683	0.1683	TRUE	0.0642
ENST00000371145	25	8	9	9	8	59	37	29	38	48	24	8	9	9	9	56	35	27	34	45	25.71	12	39	1.825	0.868	4.196	2.71132283711885e-05	0.0111138817670275	0.1008	0.303	0.1445	0.1445	TRUE	0.7655
ENST00000578190	4	5	6	6	3	15	33	31	18	11	4	5	6	6	3	14	31	29	16	10	12.52	5	20	1.786	0.837	4.079	4.532440850728e-05	0.016182801500056	0	0.4059	0.1682	0.1682	TRUE	0.0587
ENST00000461447	248	149	168	170	131	270	504	575	302	372	242	156	176	168	146	258	471	536	268	351	277.23	178	377	1.533	0.616	3.9	9.6054083771143e-05	0.028595714790351	0.0711	0.2143	0.0892	0.0892	TRUE	0.1092
ENST00000546463	98	109	111	128	54	393	310	386	458	92	96	114	116	126	60	376	290	360	406	87	203.14	102	304	1.566	0.647	3.876	0.000106046297249701	0.0289793600213402	0.1842	0.2176	0.1901	0.1901	TRUE	0.6716
